recommendation_id,scenario_id,trial_number,fund_a,fund_b
10f40366-e893-4d25-a018-71d88a2bda41,b8426ff5-c6f2-4f25-a259-764e993ffa29,1,53,47
fa3f5ac0-3395-42a9-ae93-7a1dec985409,b8426ff5-c6f2-4f25-a259-764e993ffa29,2,62,38
65b250da-f5fa-425f-8bd0-03b02874774e,b8426ff5-c6f2-4f25-a259-764e993ffa29,3,64,36
2da7eb38-c73b-4e5d-a424-5fbabac35f0d,b8426ff5-c6f2-4f25-a259-764e993ffa29,4,61,39
cbd50bd3-fd66-489c-bc2a-f1b49f8508ca,b8426ff5-c6f2-4f25-a259-764e993ffa29,5,61,39
4daae061-7760-4b60-ac8c-7dcdd877e9a9,b8426ff5-c6f2-4f25-a259-764e993ffa29,6,60,40
d27c1142-82f5-4e0a-9abf-9a37c1019ef5,b8426ff5-c6f2-4f25-a259-764e993ffa29,7,61,39
4a090b55-ec2a-4119-bf94-ce379e6a6194,b8426ff5-c6f2-4f25-a259-764e993ffa29,8,56,44
ab685060-fc0b-4bf7-9eed-cbcff0286f87,b8426ff5-c6f2-4f25-a259-764e993ffa29,9,65,35
6dae1bdf-8739-4c62-9020-e9c30b833863,b8426ff5-c6f2-4f25-a259-764e993ffa29,10,60,40
6372e886-4d2a-43b4-8d75-6f17d9517d42,b8426ff5-c6f2-4f25-a259-764e993ffa29,11,69,31
f497bb5d-8953-462c-b5e5-2ef51b8a9e32,b8426ff5-c6f2-4f25-a259-764e993ffa29,12,68,32
5dbc1d10-9445-4a6d-9b85-294e7b5efdd0,b8426ff5-c6f2-4f25-a259-764e993ffa29,13,75,25
bbf07ea5-9bd9-4a8d-bf63-4ad96194e2c9,b8426ff5-c6f2-4f25-a259-764e993ffa29,14,57,43
f4d1b1e9-fbaa-47e0-9f72-dfa1a9c0b599,b8426ff5-c6f2-4f25-a259-764e993ffa29,15,57,43
7b0ec007-de61-453a-a99c-f658639aa8af,b8426ff5-c6f2-4f25-a259-764e993ffa29,16,55,45
bf17625d-562b-4691-9da1-76fef095a156,b8426ff5-c6f2-4f25-a259-764e993ffa29,17,70,30
1d7903a9-6bff-44a6-87f8-161a1a407296,4438925c-5c3f-4773-aa1d-de52214915b1,1,0,100
f06d15fc-3d00-4f93-93a1-fcb88c5b5088,b8426ff5-c6f2-4f25-a259-764e993ffa29,18,67,33
e71d2c4c-7878-4e98-a5b1-0a756b8a363a,b8426ff5-c6f2-4f25-a259-764e993ffa29,19,40,60
9d4ed098-1c36-42bc-8f12-b604ecbef4d1,4438925c-5c3f-4773-aa1d-de52214915b1,2,1,99
5d30908f-8b97-471a-aaee-dd1904cd26b8,b8426ff5-c6f2-4f25-a259-764e993ffa29,20,39,61
bb0f480b-09c0-491e-813e-b1e37f48d481,b8426ff5-c6f2-4f25-a259-764e993ffa29,21,74,26
2363ab63-b52f-4098-a35c-36109e14d48e,b8426ff5-c6f2-4f25-a259-764e993ffa29,22,77,23
dd500a66-31f0-4c62-89b7-70961874a3b1,b8426ff5-c6f2-4f25-a259-764e993ffa29,23,77,23
979a41f9-2f15-4a5d-9dea-a3b5639022cf,b8426ff5-c6f2-4f25-a259-764e993ffa29,24,69,31
716cbb36-4bfc-405d-a580-174242a77cfe,b8426ff5-c6f2-4f25-a259-764e993ffa29,25,77,23
58f9c4ea-b850-4b96-803c-715693c8e67c,b8426ff5-c6f2-4f25-a259-764e993ffa29,26,66,34
3dff2b40-6511-47a1-b4af-06413afa64e4,b8426ff5-c6f2-4f25-a259-764e993ffa29,27,61,39
ae527cf0-3c1c-409d-b34f-dd44066efc9a,b8426ff5-c6f2-4f25-a259-764e993ffa29,28,72,28
d47473fc-4735-4478-b0c2-1004248bb77b,4438925c-5c3f-4773-aa1d-de52214915b1,3,2,98
c3f66844-0851-40f2-88a6-37ac44a35173,b8426ff5-c6f2-4f25-a259-764e993ffa29,29,78,22
abef439c-6762-4438-96db-4871d66c4632,b8426ff5-c6f2-4f25-a259-764e993ffa29,30,78,22
71d08c1a-45fd-42b7-b585-ce6d24742e40,b8426ff5-c6f2-4f25-a259-764e993ffa29,31,79,21
d8cec344-fe03-47ce-b887-02b37dca6070,b8426ff5-c6f2-4f25-a259-764e993ffa29,32,59,41
da0ecb67-809f-4a88-886b-041c9d3951f5,4438925c-5c3f-4773-aa1d-de52214915b1,4,5,95
092c7bbc-9486-4819-b12b-ca6924c450fa,b8426ff5-c6f2-4f25-a259-764e993ffa29,33,79,21
56c6b3cf-15e7-4f17-b599-23c6e4b5c763,b8426ff5-c6f2-4f25-a259-764e993ffa29,34,59,41
ba3a76dd-d07d-4db3-9f0f-1eb1be0fd223,b8426ff5-c6f2-4f25-a259-764e993ffa29,35,74,26
c8b017f0-c528-4f00-9920-8b22eb9921ed,b8426ff5-c6f2-4f25-a259-764e993ffa29,36,76,24
55bf12d6-1254-4924-afd3-f96e815512b4,b8426ff5-c6f2-4f25-a259-764e993ffa29,37,83,17
83329650-9981-44c8-b837-74fd1f4c8300,b8426ff5-c6f2-4f25-a259-764e993ffa29,38,80,20
f024b74c-4011-4ea5-8499-d178549f7472,b8426ff5-c6f2-4f25-a259-764e993ffa29,39,79,21
3abeb7f8-1d9c-4ac9-a5c0-eeda58ff188b,b8426ff5-c6f2-4f25-a259-764e993ffa29,40,74,26
986236e6-83f6-4a8c-9305-2c141e770ba5,b8426ff5-c6f2-4f25-a259-764e993ffa29,41,60,40
aa3f6431-9f13-449d-a34a-70b8134f63db,4438925c-5c3f-4773-aa1d-de52214915b1,5,11,89
7d49e338-1250-467d-b88e-ba86c16f974a,b8426ff5-c6f2-4f25-a259-764e993ffa29,42,77,23
0daf823b-371a-4a3f-a80a-b8e6876fce20,b8426ff5-c6f2-4f25-a259-764e993ffa29,43,59,41
c8c1a452-8ef2-4c46-8abe-1ef5c7dbe588,b8426ff5-c6f2-4f25-a259-764e993ffa29,44,52,48
ebdfc53b-b003-4890-80c0-b1adef3ed4f8,b8426ff5-c6f2-4f25-a259-764e993ffa29,45,52,48
a8a32dff-c65f-4eec-b2ad-d50fae652789,b8426ff5-c6f2-4f25-a259-764e993ffa29,46,53,47
ca8f9d49-ef0d-4cd5-8cd6-c563243de83f,b8426ff5-c6f2-4f25-a259-764e993ffa29,47,76,24
b87b1581-5f76-4dbe-8cfd-db06bef228f4,b8426ff5-c6f2-4f25-a259-764e993ffa29,48,78,22
415fbb83-e866-48b8-bbb0-21a89e00d47d,4438925c-5c3f-4773-aa1d-de52214915b1,6,13,87
db7804cf-29de-454b-bf45-d945abeab150,b8426ff5-c6f2-4f25-a259-764e993ffa29,49,81,19
5e5056fd-e786-4d23-ae64-7a68c4534345,b8426ff5-c6f2-4f25-a259-764e993ffa29,50,63,37
5cd4cf68-af82-4f81-aa34-aa545c006f6b,b8426ff5-c6f2-4f25-a259-764e993ffa29,51,77,23
63e4829e-d90a-43fc-a143-cd544bbfee68,b8426ff5-c6f2-4f25-a259-764e993ffa29,52,73,27
78e51ebc-c3be-408e-af9a-f3517ea9b404,b8426ff5-c6f2-4f25-a259-764e993ffa29,53,59,41
bd212e11-c571-4863-9737-e67e61b502b3,b8426ff5-c6f2-4f25-a259-764e993ffa29,54,78,22
4ecf027e-eed4-4c18-a5ba-1f0ba6d073b5,b8426ff5-c6f2-4f25-a259-764e993ffa29,55,60,40
f6f904c8-7ee3-43c2-b3d2-a47726d0fbcc,b8426ff5-c6f2-4f25-a259-764e993ffa29,56,58,42
b202981d-537a-4611-9040-1f61711fdb50,b8426ff5-c6f2-4f25-a259-764e993ffa29,57,61,39
73157f50-3302-4ee9-9cf6-0fddfb68a2a0,b8426ff5-c6f2-4f25-a259-764e993ffa29,58,61,39
e6bacc58-a24b-418f-a4a6-5035f687f278,b8426ff5-c6f2-4f25-a259-764e993ffa29,59,71,29
f45b44e0-39fe-4da1-8394-9ec531980434,b8426ff5-c6f2-4f25-a259-764e993ffa29,60,74,26
6e952145-7e75-4d04-b545-3586946aba44,b8426ff5-c6f2-4f25-a259-764e993ffa29,61,55,45
949bdb32-99b5-45f6-bcea-48cd10ae6471,b8426ff5-c6f2-4f25-a259-764e993ffa29,62,58,42
2c0e9b0d-c176-4c50-83e5-c39aa640b496,b8426ff5-c6f2-4f25-a259-764e993ffa29,63,68,32
3e561a76-cd2a-471b-9431-42ed286a31a1,b8426ff5-c6f2-4f25-a259-764e993ffa29,64,59,41
