allocation_id,trial_id,allocation_type,fund_a,fund_b,portfolio_return,created_at
06194b35-c90f-47af-a560-ceed2ede5ffc,28c116f6-3ae1-4747-a64c-0df8845694f3,initial,35,65,null,2025-04-21 10:38:57.425407+00
be4eb0ed-0146-4d80-8bd9-fd9d08cf98a3,28c116f6-3ae1-4747-a64c-0df8845694f3,ai,28,72,null,2025-04-21 10:38:58.0767+00
3b571173-843a-4788-855d-a6dee9d853b0,28c116f6-3ae1-4747-a64c-0df8845694f3,final,25,75,null,2025-04-21 10:39:15.655485+00
dd98818c-28aa-4257-86b5-107960f4f929,4e729504-0862-448c-a2af-1ba2a472b1a6,initial,10,90,null,2025-04-21 10:39:34.560476+00
e32035aa-938b-4bc7-9a36-3dc781e94bcb,4e729504-0862-448c-a2af-1ba2a472b1a6,ai,32,68,null,2025-04-21 10:39:35.535378+00
eb3c4bcd-9f20-43cf-87d9-11e4228d8f4f,4e729504-0862-448c-a2af-1ba2a472b1a6,final,15,85,null,2025-04-21 10:39:44.563881+00
f411c14d-4317-4149-be81-abbfbbc99084,22bd92bd-9b35-4453-b143-0837016d0a95,initial,5,95,null,2025-04-21 10:40:31.714887+00
0ddf39dc-7fa0-4c35-bb5b-394472265711,22bd92bd-9b35-4453-b143-0837016d0a95,ai,18,82,null,2025-04-21 10:41:17.076512+00
73a8c877-6fac-4c3f-a88d-2743acb28801,22bd92bd-9b35-4453-b143-0837016d0a95,final,8,92,null,2025-04-21 10:41:39.522473+00
ffd0f3b7-cad6-469a-a168-7b99f37bd53f,77f5572b-e478-4858-9edb-bfc57ceeed29,initial,15,85,null,2025-04-21 10:42:21.181809+00
3c851a32-96d0-42fa-a80a-340c37dab1cf,77f5572b-e478-4858-9edb-bfc57ceeed29,ai,33,67,null,2025-04-21 10:42:22.176449+00
ebd0b4bb-25ab-4559-b8a1-42e038e26ce8,21f3133f-fc6f-4cbc-b2e8-b204237550ac,initial,50,50,null,2025-04-20 06:01:49.260797+00
834b1b7f-fe24-4457-8e19-1369d7a5e0c3,21f3133f-fc6f-4cbc-b2e8-b204237550ac,ai,31,69,null,2025-04-20 06:01:50.52867+00
48a16a86-093c-4cc8-8373-056efd4e7d19,21f3133f-fc6f-4cbc-b2e8-b204237550ac,final,30,70,null,2025-04-20 06:02:11.664729+00
d7fb1410-e381-4005-8fda-4984c6a23a2e,9a8ef4d2-fcc0-4a89-ad29-82f7579b0fd7,initial,40,60,null,2025-04-20 06:03:14.103514+00
a0e4dafa-90a0-4f6e-96e5-9c191482ae65,9a8ef4d2-fcc0-4a89-ad29-82f7579b0fd7,ai,61,39,null,2025-04-20 06:03:15.423763+00
865c6a8e-ea65-40b3-b968-c7060ba54e34,9a8ef4d2-fcc0-4a89-ad29-82f7579b0fd7,final,60,40,null,2025-04-20 06:03:32.286961+00
a9122755-e45f-4b3e-b27b-a75c6110fef4,529e19a5-892f-4538-96c8-d757388493f7,initial,10,90,null,2025-04-20 06:04:14.467203+00
64477934-52b0-4386-8cb8-33e7c096978b,529e19a5-892f-4538-96c8-d757388493f7,ai,32,68,null,2025-04-20 06:04:49.37903+00
e3671413-f31b-4ffe-ae34-cb53de4bf7e1,529e19a5-892f-4538-96c8-d757388493f7,final,32,68,null,2025-04-20 06:05:04.203936+00
e75585b7-212d-4f3e-a48f-d3fc740a74d2,d9a98d67-9411-4425-8096-100192d1a469,initial,55,45,null,2025-04-20 06:05:30.563117+00
02bb312f-0edb-47e6-bba0-14ecfecf6546,d9a98d67-9411-4425-8096-100192d1a469,ai,34,66,null,2025-04-20 06:05:31.247127+00
fd57bf37-c475-43e7-b6e5-f973d16ee16e,d9a98d67-9411-4425-8096-100192d1a469,final,34,66,null,2025-04-20 06:05:44.384918+00
81e7541f-dd60-4b52-8dd0-8b3f5d62c4c8,89201950-9751-41c4-a160-529fcfa48bc8,final,60,40,0.541630662988012,2025-04-20 06:06:11.803234+00
dac9067a-8676-4d40-baf5-1b3a20235dcb,77f5572b-e478-4858-9edb-bfc57ceeed29,final,15,85,null,2025-04-21 10:42:31.667716+00
8bc5ee16-a554-44b3-b21a-2139709861c9,dbb9aa95-b7c9-42a8-91d4-94a269b893fe,initial,60,40,null,2025-04-21 10:43:09.924196+00
48161329-511e-49fc-9194-c8ba04a0954a,dbb9aa95-b7c9-42a8-91d4-94a269b893fe,ai,34,66,null,2025-04-21 10:43:10.912606+00
e4564c1d-f73e-41cd-9fa4-404da523b933,dbb9aa95-b7c9-42a8-91d4-94a269b893fe,final,60,40,null,2025-04-21 10:43:21.272648+00
d95af87a-3a39-4482-bddc-9807abc8c4b4,8429f1ea-78c3-46cf-9437-024f8e612855,last-50y,0,100,0.979564491802584,2025-04-21 10:43:45.730901+00
a54d7c5d-b5f6-4bd6-8a85-9a4330a2ab0d,b4d5ae0a-b7ae-458d-9dd3-948172e76a30,initial,60,40,null,2025-04-21 15:52:00.836795+00
cabcabe0-74c7-43ec-9569-6427527e4bf4,b4d5ae0a-b7ae-458d-9dd3-948172e76a30,ai,1,99,null,2025-04-21 15:52:02.494237+00
0f3b6944-2ff7-40d2-bf35-afc1fa5c838a,b4d5ae0a-b7ae-458d-9dd3-948172e76a30,final,30,70,null,2025-04-21 15:52:17.543193+00
1acff3cd-be95-4a0a-af82-fe7021222e29,eb8b6d6e-3379-4573-ba0c-a9e657f21bc0,initial,70,30,null,2025-04-21 15:52:46.859118+00
dd735b2e-10cf-456f-bfa0-eb3f51e36567,eb8b6d6e-3379-4573-ba0c-a9e657f21bc0,ai,5,95,null,2025-04-21 15:52:47.552796+00
8cdbd3db-6018-4446-ab6a-9488ec3ee3d0,eb8b6d6e-3379-4573-ba0c-a9e657f21bc0,final,10,90,null,2025-04-21 15:52:57.557963+00
17c71708-cdff-47d1-890b-54159f3edb93,911bfad3-9d00-490a-a74f-5219bfa5959d,initial,1,99,null,2025-04-21 15:53:13.324942+00
b9bb0d96-bcd2-4f72-abbc-b67a60bcee6a,911bfad3-9d00-490a-a74f-5219bfa5959d,ai,74,26,null,2025-04-21 15:53:14.306655+00
7d8ab565-faea-4d21-bc14-eb25785913be,911bfad3-9d00-490a-a74f-5219bfa5959d,final,90,10,null,2025-04-21 15:53:23.30766+00
f852fbb0-0512-48a9-b627-aaea59afb7d1,c9fa6c4a-bdbf-49d0-a3e1-046d52a328cb,initial,16,84,null,2025-04-21 15:53:39.038317+00
980c946f-0aa1-4365-bcf2-91f2fbf4334e,c9fa6c4a-bdbf-49d0-a3e1-046d52a328cb,ai,6,94,null,2025-04-21 15:53:40.685057+00
d595304f-03b2-4533-a761-ee5c512f348d,c9fa6c4a-bdbf-49d0-a3e1-046d52a328cb,final,1,99,null,2025-04-21 15:53:45.251814+00
6c44d846-e735-44fd-bdd0-580c0243163f,f9a1b0dd-c4cd-48db-936e-d576aa1c2361,initial,2,98,null,2025-04-21 15:53:52.561411+00
f1432c45-5f5e-439c-be31-99e06d3ac2ae,f9a1b0dd-c4cd-48db-936e-d576aa1c2361,ai,8,92,null,2025-04-21 15:53:53.55522+00
1d3eeb20-a416-46b7-8204-1a56611a3ec3,f9a1b0dd-c4cd-48db-936e-d576aa1c2361,final,3,97,null,2025-04-21 15:53:58.957359+00
0a7f3220-1bfb-4b13-af3c-f7c9e4e8632a,231b41b0-0597-46c3-929b-b7bd34621566,initial,1,99,null,2025-04-21 15:54:06.253217+00
dffa12fb-3ace-4f7c-bfa8-a7134013248b,231b41b0-0597-46c3-929b-b7bd34621566,ai,35,65,null,2025-04-21 15:54:06.962852+00
93f8e5b8-a5d6-458b-859e-f9d5bd547c9b,231b41b0-0597-46c3-929b-b7bd34621566,final,30,70,null,2025-04-21 15:54:15.389179+00
cd4ad07c-a8e9-4e6d-851b-838100b53a1f,dc2eaae1-e15f-47cf-a47f-9fc490810d59,initial,1,99,null,2025-04-21 15:54:23.493617+00
097b0f32-ae11-4701-b29e-80f033fe0236,dc2eaae1-e15f-47cf-a47f-9fc490810d59,ai,3,97,null,2025-04-21 15:54:24.186454+00
a9424dea-96f2-468b-b814-82c62ce7ffe2,dc2eaae1-e15f-47cf-a47f-9fc490810d59,final,0,100,null,2025-04-21 15:54:31.450966+00
cd0ea478-9597-4a12-8014-7e334825e9c4,9ebc74f3-3908-42ad-aa97-69e94418df06,initial,1,99,null,2025-04-21 15:54:44.654873+00
c3c4d61e-70fb-4685-bb16-4e84d2c638de,9ebc74f3-3908-42ad-aa97-69e94418df06,ai,9,91,null,2025-04-21 15:54:45.34711+00
2512a0de-35f8-4a7b-b508-81b126c361b4,9ebc74f3-3908-42ad-aa97-69e94418df06,final,1,99,null,2025-04-21 15:54:51.640372+00
9b5e211a-d087-478d-9897-4e2c90fb8e77,b0a93b3c-6dc5-4d17-838d-20f36cab91ee,initial,1,99,null,2025-04-21 15:54:58.847967+00
7e1ff6d0-364d-4b58-bb9c-5a20d0c7830f,b0a93b3c-6dc5-4d17-838d-20f36cab91ee,ai,19,81,null,2025-04-21 15:54:59.796028+00
